antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'Teknik Komputer - Rabu - praktikum jaringan komputer '},{'Lab. Jaringan Komputer & Komdat (Comlab Lt.2)'},0.0012040939193257074,0.09211318482841661,0.0012040939193257074,1.0,10.856209150326798,1.0,0.001093180993584086,inf,0.9089813140446051,0.013071895424836602,1.0,0.5065359477124183
{'Teknik Komputer - Kamis - ada mata kuliah praktikum'},{'Lab. Jaringan Komputer & Komdat (Comlab Lt.2)'},0.0015051173991571343,0.09211318482841661,0.0015051173991571343,1.0,10.856209150326798,1.0,0.0013664762419801075,inf,0.909255351220983,0.016339869281045753,1.0,0.5081699346405228
{'Sistem Komputer - Senin - tugas akhir dengan pak ahmad heryanto '},{'Lab. Jaringan Komputer & Komdat (Comlab Lt.2)'},0.001806140878988561,0.09211318482841661,0.001806140878988561,1.0,10.856209150326798,1.0,0.001639771490376129,inf,0.9095295536791316,0.0196078431372549,1.0,0.5098039215686274
{'Sistem Komputer - Senin - organisasi dan arsitektur komputer'},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.002107164358819988,0.06923540036122817,0.002107164358819988,1.0,14.443478260869565,1.0,0.0019612739908101756,inf,0.9327300150829564,0.030434782608695653,1.0,0.5152173913043478
{'Sistem Komputer - Senin - mata kuliah data mining'},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.0012040939193257074,0.06923540036122817,0.0012040939193257074,1.0,14.443478260869565,1.0,0.0011207279947486716,inf,0.9318866787221217,0.017391304347826087,1.0,0.508695652173913
{'Manajemen Informatika - Senin - praktikum web programming ii'},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.002107164358819988,0.06923540036122817,0.002107164358819988,1.0,14.443478260869565,1.0,0.0019612739908101756,inf,0.9327300150829564,0.030434782608695653,1.0,0.5152173913043478
{'Sistem Informasi Bilingual - Senin - praktikum pemrograman web 1'},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.002107164358819988,0.06923540036122817,0.002107164358819988,1.0,14.443478260869565,1.0,0.0019612739908101756,inf,0.9327300150829564,0.030434782608695653,1.0,0.5152173913043478
{'Teknik Informatika Bilingual - Kamis - pratikum pemrograman komputer lanjut'},{'Lab. Pemrograman Internet (Diklat Lt.5)'},0.0015051173991571343,0.06923540036122817,0.0015051173991571343,1.0,14.443478260869565,1.0,0.0014009099934358395,inf,0.9321676213445885,0.021739130434782608,1.0,0.5108695652173914
{'Teknik Informatika Bilingual - Kamis - meminjam kunci untuk belajar'},{'Lab. Pemrograman Dasar (Diklat Lt.3)'},0.0012040939193257074,0.06923540036122817,0.0012040939193257074,1.0,14.443478260869565,1.0,0.0011207279947486716,inf,0.9318866787221217,0.017391304347826087,1.0,0.508695652173913
{'Manajemen Informatika - Rabu - mk praktikum basis data '},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0012040939193257074,0.08308248043347381,0.0012040939193257074,1.0,12.03623188405797,1.0,0.0011040548098332646,inf,0.9180229053646776,0.014492753623188406,1.0,0.5072463768115942
{'Teknik Komputer - Kamis - mk interaksi manusia komputer '},{'RUANG Studio (Comlab Lt.4)'},0.0012040939193257074,0.030403371462974112,0.0012040939193257074,1.0,32.89108910891089,1.0,0.0011674854046201395,inf,0.9707655213984328,0.03960396039603961,1.0,0.5198019801980198
{'Manajemen Informatika - Senin - kuliah praktikum pemrograman berorientasi objek'},{'RUANG 3 A'},0.0033112582781456954,0.0448524984948826,0.0033112582781456954,1.0,22.29530201342282,1.0,0.003162740071208998,inf,0.9583207490184236,0.0738255033557047,1.0,0.5369127516778524
{'Teknik Komputer - Senin - jaringan komputer '},{'RUANG Studio (Comlab Lt.4)'},0.0015051173991571343,0.030403371462974112,0.0015051173991571343,1.0,32.89108910891089,1.0,0.0014593567557751744,inf,0.9710581851070245,0.04950495049504951,1.0,0.5247524752475248
{'Teknik Komputer - Rabu - komputasi bergerak '},{'RUANG Studio (Comlab Lt.4)'},0.0012040939193257074,0.030403371462974112,0.0012040939193257074,1.0,32.89108910891089,1.0,0.0011674854046201395,inf,0.9707655213984328,0.03960396039603961,1.0,0.5198019801980198
{'Teknik Komputer - Senin - rekayasa perangkat lunak '},{'Lab. Studio (Comlab Lt.4)'},0.0012040939193257074,0.03281155930162553,0.0012040939193257074,1.0,30.477064220183486,1.0,0.0011645857202870252,inf,0.9683544303797468,0.03669724770642202,1.0,0.518348623853211
{'Manajemen Informatika - Kamis - matakuliah'},{'Lab. Studio (Comlab Lt.4)'},0.002107164358819988,0.03281155930162553,0.002107164358819988,1.0,30.477064220183486,1.0,0.002038025010502294,inf,0.9692307692307692,0.06422018348623854,1.0,0.5321100917431193
{'Teknik Informatika Bilingual - Selasa - praktikum'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0015051173991571343,0.08308248043347381,0.0015051173991571343,1.0,12.03623188405797,1.0,0.0013800685122915806,inf,0.9182996683750377,0.018115942028985508,1.0,0.5090579710144928
{'Sistem Informasi Bilingual - Jumat - asisten lab '},{'Lab. RPL & Sistem Informasi (Comlab Lt.3)'},0.0039133052378085495,0.07495484647802529,0.0039133052378085495,1.0,13.341365461847388,1.0,0.0036199840444869572,inf,0.9286793593230582,0.05220883534136547,1.0,0.5261044176706827
{'Teknik Informatika Bilingual - Senin - tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.0030102347983142685,0.056592414208308246,0.0030102347983142685,1.0,17.670212765957448,1.0,0.0028398783437438044,inf,0.9462560386473431,0.05319148936170213,1.0,0.526595744680851
{'Teknik Informatika Bilingual - Selasa - tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.0030102347983142685,0.056592414208308246,0.0030102347983142685,1.0,17.670212765957448,1.0,0.0028398783437438044,inf,0.9462560386473431,0.05319148936170213,1.0,0.526595744680851
{'Teknik Informatika Bilingual - Senin - aslab/tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.004214328717639976,0.056592414208308246,0.004214328717639976,1.0,17.670212765957448,1.0,0.003975829681241326,inf,0.9474002418379684,0.07446808510638298,1.0,0.5372340425531915
{'Teknik Informatika Bilingual - Selasa - aslab/tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.004515352197471403,0.056592414208308246,0.004515352197471403,1.0,17.670212765957448,1.0,0.004259817515615706,inf,0.9476867251285152,0.0797872340425532,1.0,0.5398936170212766
{'Teknik Informatika Bilingual - Rabu - tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.003612281757977122,0.056592414208308246,0.003612281757977122,1.0,17.670212765957448,1.0,0.0034078540124925652,inf,0.9468277945619336,0.06382978723404256,1.0,0.5319148936170213
{'Teknik Informatika Bilingual - Kamis - aslab/tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.003612281757977122,0.056592414208308246,0.003612281757977122,1.0,17.670212765957448,1.0,0.0034078540124925652,inf,0.9468277945619336,0.06382978723404256,1.0,0.5319148936170213
{'Teknik Informatika Bilingual - Jumat - tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.003612281757977122,0.056592414208308246,0.003612281757977122,1.0,17.670212765957448,1.0,0.0034078540124925652,inf,0.9468277945619336,0.06382978723404256,1.0,0.5319148936170213
{'Teknik Informatika Bilingual - Rabu - aslab/tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.003612281757977122,0.056592414208308246,0.003612281757977122,1.0,17.670212765957448,1.0,0.0034078540124925652,inf,0.9468277945619336,0.06382978723404256,1.0,0.5319148936170213
{'Teknik Informatika Bilingual - Kamis - tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.0033112582781456954,0.056592414208308246,0.0033112582781456954,1.0,17.670212765957448,1.0,0.0031238661781181846,inf,0.9465418302627606,0.05851063829787234,1.0,0.5292553191489362
{'Sistem Komputer - Kamis - praktikum pemrograman komputer'},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0015051173991571343,0.08398555087296809,0.0015051173991571343,1.0,11.906810035842295,1.0,0.0013787092852604334,inf,0.9173952366596323,0.017921146953405017,1.0,0.5089605734767025
{'Teknik Informatika Bilingual - Jumat - aslab/tugas akhir '},{'Lab. Pengolahan Citra & Pengenalan Pola (Comlab Lt.3)'},0.004515352197471403,0.056592414208308246,0.004515352197471403,1.0,17.670212765957448,1.0,0.004259817515615706,inf,0.9476867251285152,0.0797872340425532,1.0,0.5398936170212766
{'Sistem Informasi Bilingual - Rabu - praktikum pemrograman web 1 '},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0015051173991571343,0.08398555087296809,0.0015051173991571343,1.0,11.906810035842295,1.0,0.0013787092852604334,inf,0.9173952366596323,0.017921146953405017,1.0,0.5089605734767025
{'Sistem Komputer - Kamis - mk praktikum pemrograman komputer '},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0012040939193257074,0.08398555087296809,0.0012040939193257074,1.0,11.906810035842295,1.0,0.0011029674282083467,inf,0.9171187462326703,0.014336917562724014,1.0,0.507168458781362
{'Sistem Informasi Bilingual - Rabu - mata kuliah praktikum pemrograman bergerak'},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0030102347983142685,0.08398555087296809,0.0030102347983142685,1.0,11.906810035842295,1.0,0.002757418570520867,inf,0.918780193236715,0.035842293906810034,1.0,0.517921146953405
{'Sistem Informasi Bilingual - Kamis - meminjam kunci lab'},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0012040939193257074,0.08398555087296809,0.0012040939193257074,1.0,11.906810035842295,1.0,0.0011029674282083467,inf,0.9171187462326703,0.014336917562724014,1.0,0.507168458781362
{'Sistem Informasi Bilingual - Kamis - kelas etika profesi '},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0015051173991571343,0.08398555087296809,0.0015051173991571343,1.0,11.906810035842295,1.0,0.0013787092852604334,inf,0.9173952366596323,0.017921146953405017,1.0,0.5089605734767025
{'Sistem Informasi Bilingual - Jumat - praktikum pem web 1'},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0012040939193257074,0.08398555087296809,0.0012040939193257074,1.0,11.906810035842295,1.0,0.0011029674282083467,inf,0.9171187462326703,0.014336917562724014,1.0,0.507168458781362
{'Sistem Informasi Bilingual - Jumat - tugas jaga lab'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0012040939193257074,0.08308248043347381,0.0012040939193257074,1.0,12.03623188405797,1.0,0.0011040548098332646,inf,0.9180229053646776,0.014492753623188406,1.0,0.5072463768115942
{'Sistem Informasi Bilingual - Kamis - tugas jaga lab'},{'Lab. Struktur Data & SI Akuntansi (Comlab Lt.3)'},0.0015051173991571343,0.08308248043347381,0.0015051173991571343,1.0,12.03623188405797,1.0,0.0013800685122915806,inf,0.9182996683750377,0.018115942028985508,1.0,0.5090579710144928
{'Teknik Komputer - Selasa - jadwal kelas'},{'Lab. RPL & Sistem Informasi (Comlab Lt.3)'},0.0012040939193257074,0.07495484647802529,0.0012040939193257074,1.0,13.341365461847388,1.0,0.0011138412444575251,inf,0.9261603375527425,0.01606425702811245,1.0,0.5080321285140562
{'Sistem Informasi Bilingual - Kamis - asisten lab '},{'Lab. RPL & Sistem Informasi (Comlab Lt.3)'},0.004515352197471403,0.07495484647802529,0.004214328717639976,0.9333333333333332,12.451941097724228,1.0,0.0038758811868842926,13.875677302829601,0.923862801848892,0.056,0.92793144592689,0.4947791164658634
{'Komputerisasi Akuntansi - Rabu - praktikum desain web'},{'Lab. Pemrograman Lanjut (Diklat Lt.4)'},0.0033112582781456954,0.08398555087296809,0.0030102347983142685,0.9090909090909091,10.82437275985663,1.0,0.0027321369477415263,10.076158940397347,0.9106312292358804,0.03571428571428571,0.9007558330594807,0.47246660149885955
{'Manajemen Informatika - Selasa - kuliah praktikum animasi komputer'},{'Lab. Basis Data & Big Data (Comlab Lt.4)'},0.0030102347983142685,0.052980132450331126,0.0027092113184828417,0.9,16.9875,1.0,0.002549728680161556,9.47019867549669,0.9439747718733226,0.05084745762711864,0.8944055944055944,0.47556818181818183
{'Sistem Informasi Bilingual - Rabu - asisten lab '},{'Lab. RPL & Sistem Informasi (Comlab Lt.3)'},0.0030102347983142685,0.07495484647802529,0.0027092113184828417,0.9,12.00722891566265,1.0,0.002483579631312386,9.25045153521975,0.9194847020933977,0.036,0.8918971688903352,0.4680722891566265
